16:54:49.550431 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 3424916485:3424916526, ack 1515649543, win 229, options [nop,nop,TS val 676419 ecr 803126], length 41
16:54:49.570519 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 1:42, ack 41, win 227, options [nop,nop,TS val 803131 ecr 676419], length 41
16:54:49.571226 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 42:1018, ack 41, win 227, options [nop,nop,TS val 803132 ecr 676424], length 976
16:54:49.572369 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 41:1377, ack 1018, win 244, options [nop,nop,TS val 676425 ecr 803132], length 1336
16:54:49.615757 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 1377:1425, ack 1018, win 244, options [nop,nop,TS val 676436 ecr 803143], length 48
16:54:49.622391 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 1018:1382, ack 1425, win 249, options [nop,nop,TS val 803144 ecr 676436], length 364
16:54:49.636815 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 1425:1441, ack 1382, win 259, options [nop,nop,TS val 676441 ecr 803144], length 16
16:54:49.680032 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 1441:1485, ack 1382, win 259, options [nop,nop,TS val 676452 ecr 803159], length 44
16:54:49.681152 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 1382:1426, ack 1485, win 249, options [nop,nop,TS val 803159 ecr 676452], length 44
16:54:49.681270 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 1485:1545, ack 1426, win 259, options [nop,nop,TS val 676452 ecr 803159], length 60
16:54:49.686847 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 1426:1478, ack 1545, win 249, options [nop,nop,TS val 803160 ecr 676452], length 52
16:54:51.628025 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 1545:1629, ack 1478, win 259, options [nop,nop,TS val 676939 ecr 803160], length 84
16:54:51.646196 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 1478:1506, ack 1629, win 249, options [nop,nop,TS val 803650 ecr 676939], length 28
16:54:51.646684 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 1629:1741, ack 1506, win 259, options [nop,nop,TS val 676943 ecr 803650], length 112
16:54:51.739849 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 1506:2446, ack 1741, win 249, options [nop,nop,TS val 803673 ecr 676943], length 940
16:54:51.784901 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 2446:2490, ack 1741, win 249, options [nop,nop,TS val 803685 ecr 676978], length 44
16:54:51.785495 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 1741:2185, ack 2490, win 274, options [nop,nop,TS val 676978 ecr 803685], length 444
16:54:51.787151 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 2490:2598, ack 2185, win 270, options [nop,nop,TS val 803685 ecr 676978], length 108
16:54:51.792341 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 2598:2970, ack 2185, win 270, options [nop,nop,TS val 803686 ecr 676978], length 372
16:54:51.848337 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 2970:3030, ack 2185, win 270, options [nop,nop,TS val 803700 ecr 676980], length 60
16:54:52.195115 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2185:2221, ack 3030, win 290, options [nop,nop,TS val 677080 ecr 803700], length 36
16:54:52.196960 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3030:3066, ack 2221, win 270, options [nop,nop,TS val 803787 ecr 677080], length 36
16:54:52.315310 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2221:2257, ack 3066, win 290, options [nop,nop,TS val 677110 ecr 803787], length 36
16:54:52.320767 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3066:3102, ack 2257, win 270, options [nop,nop,TS val 803818 ecr 677110], length 36
16:54:52.434804 IP ip-192-168-205-234.ColumbusState.EDU.44356 > ip-192-168-205-201.ColumbusState.EDU.ssh: Flags [P.], seq 2257:2293, ack 3102, win 290, options [nop,nop,TS val 677140 ecr 803818], length 36
16:54:52.436277 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3102:3138, ack 2293, win 270, options [nop,nop,TS val 803847 ecr 677140], length 36
16:54:52.442084 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3138:3262, ack 2293, win 270, options [nop,nop,TS val 803849 ecr 677141], length 124
16:54:52.442130 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3262:3298, ack 2293, win 270, options [nop,nop,TS val 803849 ecr 677141], length 36
16:54:52.442577 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3298:3422, ack 2293, win 270, options [nop,nop,TS val 803849 ecr 677141], length 124
16:54:52.442609 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3422:3458, ack 2293, win 270, options [nop,nop,TS val 803849 ecr 677141], length 36
16:54:52.442801 IP ip-192-168-205-201.ColumbusState.EDU.ssh > ip-192-168-205-234.ColumbusState.EDU.44356: Flags [P.], seq 3458:3582, ack 2293, win 270, options [nop,nop,TS val 803849 ecr 677141], length 124
