13:39:18.480465 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3427323675:3427323696, ack 2794041060, win 502, options [nop,nop,TS val 4021117629 ecr 3038565387], length 21: SSH: SSH-2.0-OpenSSH_8.5
13:39:18.517445 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 1:42, ack 21, win 979, options [nop,nop,TS val 3038565427 ecr 4021117629], length 41: SSH: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.1
13:39:18.517859 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1469:1533, ack 42, win 502, options [nop,nop,TS val 4021117666 ecr 3038565427], length 64
13:39:18.546688 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 42:1098, ack 1469, win 957, options [nop,nop,TS val 3038565454 ecr 4021117666], length 1056
13:39:18.551249 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1533:1581, ack 1098, win 501, options [nop,nop,TS val 4021117699 ecr 3038565458], length 48
13:39:18.583977 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 1098:1534, ack 1581, win 956, options [nop,nop,TS val 3038565493 ecr 4021117699], length 436
13:39:18.599089 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1581:1597, ack 1534, win 501, options [nop,nop,TS val 4021117747 ecr 3038565493], length 16
13:39:18.627376 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1597:1641, ack 1534, win 501, options [nop,nop,TS val 4021117775 ecr 3038565535], length 44
13:39:18.664990 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 1534:1578, ack 1641, win 956, options [nop,nop,TS val 3038565573 ecr 4021117775], length 44
13:39:18.665114 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1641:1709, ack 1578, win 501, options [nop,nop,TS val 4021117813 ecr 3038565573], length 68
13:39:18.699877 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 1578:1622, ack 1709, win 955, options [nop,nop,TS val 3038565607 ecr 4021117813], length 44
13:39:18.703584 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 1709:2361, ack 1622, win 501, options [nop,nop,TS val 4021117852 ecr 3038565607], length 652
13:39:18.739002 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 1622:1650, ack 2361, win 945, options [nop,nop,TS val 3038565646 ecr 4021117852], length 28
13:39:18.739235 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 2361:2473, ack 1650, win 501, options [nop,nop,TS val 4021117887 ecr 3038565646], length 112
13:39:19.374878 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 1650:2426, ack 2473, win 944, options [nop,nop,TS val 3038566207 ecr 4021117887], length 776
13:39:19.444933 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 2426:2470, ack 2473, win 944, options [nop,nop,TS val 3038566353 ecr 4021118565], length 44
13:39:19.445136 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 2473:2865, ack 2470, win 501, options [nop,nop,TS val 4021118593 ecr 3038566353], length 392
13:39:19.476043 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 2470:2578, ack 2865, win 938, options [nop,nop,TS val 3038566385 ecr 4021118593], length 108
13:39:19.476083 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 2578:2678, ack 2865, win 938, options [nop,nop,TS val 3038566385 ecr 4021118593], length 100
13:39:19.476261 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 2678:2750, ack 2865, win 938, options [nop,nop,TS val 3038566385 ecr 4021118593], length 72
13:39:19.476605 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 2750:2826, ack 2865, win 938, options [nop,nop,TS val 3038566385 ecr 4021118593], length 76
13:39:19.476643 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 2826:2862, ack 2865, win 938, options [nop,nop,TS val 3038566385 ecr 4021118593], length 36
13:39:19.476654 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 2862:2982, ack 2865, win 938, options [nop,nop,TS val 3038566385 ecr 4021118593], length 120
13:39:19.476662 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 2982:3102, ack 2865, win 938, options [nop,nop,TS val 3038566385 ecr 4021118593], length 120
