01:06:21.942534 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1821985813:1821985834, ack 3023146116, win 502, options [nop,nop,TS val 1938685867 ecr 3826188383], length 21: SSH: SSH-2.0-OpenSSH_8.5
01:06:21.979667 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 1:42, ack 21, win 979, options [nop,nop,TS val 3826188421 ecr 1938685867], length 41: SSH: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.1
01:06:21.980416 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1469:1533, ack 42, win 502, options [nop,nop,TS val 1938685905 ecr 3826188421], length 64
01:06:22.006373 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 42:1098, ack 21, win 979, options [nop,nop,TS val 3826188447 ecr 1938685904], length 1056
01:06:22.010444 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1533:1581, ack 1098, win 501, options [nop,nop,TS val 1938685935 ecr 3826188451], length 48
01:06:22.046879 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 1098:1534, ack 1581, win 956, options [nop,nop,TS val 3826188488 ecr 1938685935], length 436
01:06:22.055461 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1581:1597, ack 1534, win 501, options [nop,nop,TS val 1938685980 ecr 3826188488], length 16
01:06:22.083904 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1597:1641, ack 1534, win 501, options [nop,nop,TS val 1938686008 ecr 3826188525], length 44
01:06:22.109728 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 1534:1578, ack 1641, win 956, options [nop,nop,TS val 3826188551 ecr 1938686008], length 44
01:06:22.109860 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1641:1709, ack 1578, win 501, options [nop,nop,TS val 1938686034 ecr 3826188551], length 68
01:06:22.141409 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 1578:1622, ack 1709, win 955, options [nop,nop,TS val 3826188583 ecr 1938686034], length 44
01:06:22.144888 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1709:2361, ack 1622, win 501, options [nop,nop,TS val 1938686069 ecr 3826188583], length 652
01:06:22.181570 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 1622:1650, ack 2361, win 945, options [nop,nop,TS val 3826188622 ecr 1938686069], length 28
01:06:22.181808 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 2361:2473, ack 1650, win 501, options [nop,nop,TS val 1938686106 ecr 3826188622], length 112
01:06:22.763193 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 1650:2426, ack 2473, win 944, options [nop,nop,TS val 3826189184 ecr 1938686106], length 776
01:06:22.832718 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 2426:2470, ack 2473, win 944, options [nop,nop,TS val 3826189273 ecr 1938686728], length 44
01:06:22.832941 IP archlinux.33052 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 2473:2865, ack 2470, win 501, options [nop,nop,TS val 1938686757 ecr 3826189273], length 392
01:06:22.866220 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33052: Flags [P.], seq 2470:2578, ack 2865, win 938, options [nop,nop,TS val 3826189306 ecr 1938686757], length 108
