00:34:40.982376 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1180081959:1180081995, ack 1547575369, win 501, options [nop,nop,TS val 1936784907 ecr 3824014862], length 36
00:34:41.024180 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 1:37, ack 36, win 938, options [nop,nop,TS val 3824287471 ecr 1936784907], length 36
00:34:41.110634 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 36:72, ack 37, win 501, options [nop,nop,TS val 1936785035 ecr 3824287471], length 36
00:34:41.138302 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 37:73, ack 72, win 938, options [nop,nop,TS val 3824287586 ecr 1936785035], length 36
00:34:41.138353 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 73:133, ack 72, win 938, options [nop,nop,TS val 3824287586 ecr 1936785035], length 60
00:34:41.138363 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 133:169, ack 72, win 938, options [nop,nop,TS val 3824287586 ecr 1936785035], length 36
00:34:41.138369 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 169:293, ack 72, win 938, options [nop,nop,TS val 3824287587 ecr 1936785035], length 124
00:34:43.537844 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 72:108, ack 293, win 501, options [nop,nop,TS val 1936787462 ecr 3824287587], length 36
00:34:43.564571 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 293:329, ack 108, win 938, options [nop,nop,TS val 3824290013 ecr 1936787462], length 36
00:34:43.601266 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 108:144, ack 329, win 501, options [nop,nop,TS val 1936787525 ecr 3824290013], length 36
00:34:43.626132 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 329:365, ack 144, win 938, options [nop,nop,TS val 3824290075 ecr 1936787525], length 36
