21:59:03.810103 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 2505981634:2505981670, ack 925760673, win 501, options [nop,nop,TS val 1967411807 ecr 2013040667], length 36
21:59:03.837044 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 1:37, ack 36, win 938, options [nop,nop,TS val 2013046298 ecr 1967411807], length 36
21:59:06.779377 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 36:72, ack 37, win 501, options [nop,nop,TS val 1967414776 ecr 2013046298], length 36
21:59:06.808394 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 37:81, ack 72, win 938, options [nop,nop,TS val 2013049270 ecr 1967414776], length 44
21:59:09.340003 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 72:108, ack 81, win 501, options [nop,nop,TS val 1967417337 ecr 2013049270], length 36
21:59:09.366864 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 81:117, ack 108, win 938, options [nop,nop,TS val 2013051828 ecr 1967417337], length 36
21:59:12.309016 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 108:144, ack 117, win 501, options [nop,nop,TS val 1967420306 ecr 2013051828], length 36
21:59:12.337691 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 117:161, ack 144, win 938, options [nop,nop,TS val 2013054798 ecr 1967420306], length 44
21:59:14.971782 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 144:180, ack 161, win 501, options [nop,nop,TS val 1967422968 ecr 2013054798], length 36
21:59:15.000219 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 161:197, ack 180, win 938, options [nop,nop,TS val 2013057462 ecr 1967422968], length 36
21:59:17.633911 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 180:216, ack 197, win 501, options [nop,nop,TS val 1967425630 ecr 2013057462], length 36
21:59:17.659895 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 197:241, ack 216, win 938, options [nop,nop,TS val 2013060121 ecr 1967425630], length 44
21:59:20.194633 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 216:252, ack 241, win 501, options [nop,nop,TS val 1967428191 ecr 2013060121], length 36
21:59:20.223194 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 241:277, ack 252, win 938, options [nop,nop,TS val 2013062684 ecr 1967428191], length 36
21:59:22.242638 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 252:288, ack 277, win 501, options [nop,nop,TS val 1967430239 ecr 2013062684], length 36
21:59:22.269313 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 277:321, ack 288, win 938, options [nop,nop,TS val 2013064730 ecr 1967430239], length 44
21:59:24.188301 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 288:324, ack 321, win 501, options [nop,nop,TS val 1967432185 ecr 2013064730], length 36
21:59:24.218956 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 321:357, ack 324, win 938, options [nop,nop,TS val 2013066676 ecr 1967432185], length 36
21:59:26.338151 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 324:360, ack 357, win 501, options [nop,nop,TS val 1967434335 ecr 2013066676], length 36
21:59:26.367154 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 357:401, ack 360, win 938, options [nop,nop,TS val 2013068827 ecr 1967434335], length 44
21:59:27.976816 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 360:396, ack 401, win 501, options [nop,nop,TS val 1967435973 ecr 2013068827], length 36
21:59:28.003248 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 401:437, ack 396, win 938, options [nop,nop,TS val 2013070464 ecr 1967435973], length 36
21:59:29.922898 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 396:432, ack 437, win 501, options [nop,nop,TS val 1967437919 ecr 2013070464], length 36
21:59:29.950629 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 437:481, ack 432, win 938, options [nop,nop,TS val 2013072412 ecr 1967437919], length 44
21:59:31.663608 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 432:468, ack 481, win 501, options [nop,nop,TS val 1967439660 ecr 2013072412], length 36
21:59:31.691848 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 481:517, ack 468, win 938, options [nop,nop,TS val 2013074151 ecr 1967439660], length 36
21:59:34.223670 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 468:504, ack 517, win 501, options [nop,nop,TS val 1967442220 ecr 2013074151], length 36
21:59:34.255324 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 517:561, ack 504, win 938, options [nop,nop,TS val 2013076716 ecr 1967442220], length 44
21:59:36.168969 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 504:540, ack 561, win 501, options [nop,nop,TS val 1967444165 ecr 2013076716], length 36
21:59:36.196572 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 561:597, ack 540, win 938, options [nop,nop,TS val 2013078657 ecr 1967444165], length 36
21:59:38.217227 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 540:576, ack 597, win 501, options [nop,nop,TS val 1967446214 ecr 2013078657], length 36
21:59:38.246064 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 597:641, ack 576, win 938, options [nop,nop,TS val 2013080706 ecr 1967446214], length 44
21:59:40.269619 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 576:612, ack 641, win 501, options [nop,nop,TS val 1967448266 ecr 2013080706], length 36
21:59:40.306081 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 641:677, ack 612, win 938, options [nop,nop,TS val 2013082766 ecr 1967448266], length 36
21:59:42.006212 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 612:648, ack 677, win 501, options [nop,nop,TS val 1967450003 ecr 2013082766], length 36
21:59:42.073182 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 677:721, ack 648, win 938, options [nop,nop,TS val 2013084534 ecr 1967450003], length 44
21:59:43.643965 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 648:684, ack 721, win 501, options [nop,nop,TS val 1967451640 ecr 2013084534], length 36
21:59:43.684419 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 721:757, ack 684, win 938, options [nop,nop,TS val 2013086144 ecr 1967451640], length 36
21:59:45.693321 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 684:720, ack 757, win 501, options [nop,nop,TS val 1967453690 ecr 2013086144], length 36
21:59:45.729769 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 757:801, ack 720, win 938, options [nop,nop,TS val 2013088182 ecr 1967453690], length 44
